race_name
Airedale terrier
Akita Inu
Akita Americano
Alano español
Alaskan malamute
American Hairless terrier
American Staffordshire Terrier
Antiguo Perro Pastor Inglés
Appenzeller
Australian Cattle Dog
Australian Silky Terrier
Azawakh
Bardino (Perro majorero)
Basenji
Basset hound
Beagle
Beauceron
Bichon frisé
Bichón maltés
Bobtail
Bloodhound
Border collie
Borzoi
Boston terrier
Bóxer
Braco alemán de pelo corto
Braco alemán de pelo duro
Braco de Auvernia
Braco francés
Braco húngaro
Braco italiano
Braco tirolés
Braco de Saint Germain
Braco de Weimar
Bull Terrier
Bulldog americano
Bulldog francés
Bulldog inglés
Bullmastiff
Can de palleiro
Caniche
Cão da Serra da Estrela
Cão da Serra de Aires
Cão de Agua Português
Cão de Castro Laboreiro
Cão de Fila de São Miguel
Chesapeake Bay Retriever
Chihuahueño
Crestado Chino
Chow chow
Clumber spaniel
Cocker spaniel americano
Cocker spaniel inglés
Collie
Criollo
Bearded collie
Dachshund
Dálmata
Dandie Dinmont Terrier
Deerhound
Dobermann
Dogo alemán
Dogo argentino
Dogo de burdeos
Dogo del Tíbet
Dogo guatemalteco
English springer spaniel
Entlebucher
Épagneul bretón
Épagneul français
Epagneul papillón
Eurasier
Fila Brasileiro
Flat-Coated Retriever
Fox Terrier
Galgo español
Galgo húngaro
Galgo inglés
Galgo italiano
Golden retriever
Gran danés
Gegar colombiano
Greyhound
Grifón belga
Hovawart
Husky siberiano
Jack Russell Terrier
Keeshond
Kerry blue terrier
Komondor
Kuvasz
Labrador
Lakeland Terrier
Laekenois
Landseer
Lebrel afgano
Leonberger
Perro lobo de Saarloos
Lhasa apso
Löwchen
Maltés
Malinois
Manchester terrier
Mastín afgano
Mastín del Pirineo
Mastín español
Mastín inglés
Mastín napolitano
Mastín tibetano
Mucuchies
Mudi
Nova Scotia Duck Tolling Retriever
Ovejero magallánico
Pastor alemán
Pastor belga
Pastor blanco suizo
Pastor catalán
Pastor croata
Pastor garafiano
Pastor holandés
Pastor peruano Chiribaya
Pastor de los Pirineos
Pastor leonés
Pastor mallorquín
Pastor maremmano-abrucés
Pastor vasco
Pekinés
Pembroke Welsh Corgi
Pequeño Lebrel Italiano
Perdiguero francés
Perdiguero portugués
Perro cimarrón uruguayo
Perro de agua americano
Perro de agua español
Perro de agua irlandés
Perro de agua portugués
Perro dogo mallorquín
Perro esquimal canadiense
Perro de Montaña de los Pirineos
Perro fino colombiano
Perro pastor de las islas Shetland
Perro peruano sin pelo
Phalène
Pinscher alemán
Pinscher miniatura
Pitbull
Podenco canario
Podenco ibicenco
Podenco portugués
Pointer
Pomerania
Presa canario
Pudelpointer
Pug
Puli
Pumi
Rafeiro do Alentejo
Ratonero bodeguero andaluz
Ratonero mallorquín
Ratonero valenciano
Rhodesian Ridgeback
Rottweiler
Saluki
Samoyedo
San Bernardo
Schnauzer estándar
Schnauzer gigante
Schnauzer miniatura
Staffordshire Bull Terrier
Setter inglés
Setter irlandés
Shar Pei
Shiba Inu
Shih Tzu
Siberian husky
Skye terrier
Spitz enano
Spitz grande
Spitz mediano
Spitz japonés
Sussex spaniel
Teckel
Terranova
Terrier alemán
Terrier australiano
Terrier brasileño
Terrier chileno
Terrier escocés
Terrier galés
Terrier irlandés
Terrier ruso negro
Terrier tibetano
Tervueren
Weimaraner
West Highland White Terrier
Whippet
Wolfsspitz
Xoloitzcuintle
Yorkshire terrierasier
